user_id,country,country_region,source,platform,device_family,os_version,event_1,event_2,event_3,revenue
a62c86b4,cr,Provincia de San Jose,Organic,iOS,Apple iPhone,14.4,0,102,0.0,0.317348
1d5189a4,ie,Leinster,Organic,Android,Samsung Galaxy Phone,8.0.0,0,32,,0.105701
9a2ad63a,uy,Departamento de Montevideo,Organic,Android,samsung samsung SM-A107M,10,0,4,0.0,0.003268
e1b19bfd,ar,Buenos Aires,Organic,ios,Apple iPad,12.5.1,0,117,0.0,0.180275
312293d4,es,Valencia,Organic,iOS,Apple iPhone,12.5.1,0,57,1.0,0.133304
bfac9480,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,6,0.0,0.014673
9fa3ce41,es,Las Palmas,Organic,iOS,Apple iPhone,14.4,0,295,0.0,0.721179
c2e0d65c,es,Valencia,Organic,iOS,Apple iPhone,14.4,0,135,0.0,0.334883
f532f897,es,Seville,Organic,iOS,Apple iPad,10.3.3,0,12,0.0,0.029475
e7cc045d,es,Seville,Organic,iOS,"Apple iPad11,6",14.4,0,292,4.0,0.724194
49db11a7,es,Madrid,Organic,iOS,Apple iPhone,14.3,0,43,0.0,0.103783
a04d0dc8,es,Andalusia,Organic,iOS,Apple iPad,14.4,0,0,0.0,0.0
b2a6fc41,es,Navarre,Organic,iOS,Apple iPhone,14.2,0,26,0.0,0.062378
9c9276cd,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,76,0.0,0.173519
c78416ba,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,36,0.0,0.087592
69e91c8c,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,10,2.0,0.027265
d3f8b8e4,es,Madrid,Organic,iOS,Apple iPhone,14.3,0,183,7.0,0.450427
fa04bdbc,es,Biscay,Organic,iOS,Apple iPhone,14.4,0,6,152.0,0.305587
8ca6fb46,es,Biscay,Organic,iOS,samsung samsung SM-T720,14.4,0,59,15.0,0.158057
9c479f6a,es,Madrid,Organic,iOS,Apple iPhone,14.4,0,1270,108.0,3.297134
6f91f706,es,Cuenca,Organic,iOS,Apple iPad,14.4,0,81,0.0,0.199082
9680c91f,es,Barcelona,Organic,iOS,Apple iPhone,14.4,0,30,0.0,0.075079
c6366e4b,es,Asturias,Organic,iOS,"Apple iPad7,11",14.4,0,93,0.0,0.223944
99577377,es,Valencia,Organic,iOS,Apple iPhone,14.4,0,221,46.0,0.619191
7837ef52,es,Castellon,Organic,iOS,Apple iPhone,14.2,0,13,0.0,0.03124
15692c76,cl,Los Lagos Region,Organic,Android,Huawei Phone,9,0,2,1.0,0.004777
d398fa53,cl,Santiago Metropolitan,Organic,Android,samsung samsung SM-A805F,10,0,5,14.0,0.033601
83af3113,tr,Rize,Organic,Android,Samsung Galaxy Phone,6.0.1,0,223,1.0,0.058951
f250f3e7,it,Provincia di Varese,Organic,Android,samsung samsung SM-T870,9,0,221,0.0,0.459636
c8a37002,it,Padua,Organic,Android,Xiaomi Phone,11,0,116,0.0,0.217486
870fafc9,it,Provincia di Bergamo,Organic,android,Samsung Galaxy Phone,8.0.0,0,192,39.0,0.509927
ac9e038c,co,Antioquia,Organic,iOS,Apple iPhone,14.4,0,101,3.0,0.29781
4509180b,fr,Seine-Maritime,Organic,iOS,Apple iPhone,14.4,0,108,1.0,0.374769
6113ab0b,fr,Rhône,,iOS,"Apple iPad7,11",14.4,0,250,0.0,0.919027
683dbe0d,fr,Île-de-France,Organic,iOS,Apple iPhone,14.4,0,247,,0.86517
62a61dd6,fr,Loire-Atlantique,Organic,iOS,Apple iPhone,14.3,0,32,0.0,0.117616
